schomburgk_line_title;The Schomburgk Line;;;;;;;;;;;;;
NORMAL_WAR_PUPPET_NAME_BOL_PEU;The Salaverry-Santa Cruz War;;;;;;;;;;;;;
AGRESSION_WAR_PUPPET_NAME_BOL_PEU;The Salaverry-Santa Cruz War;;;;;;;;;;;;;
ottoman_invasion_iraq_title;End Mamluk Rule in Baghdad;;;;;;;;;;;;;
ottoman_invasion_iraq_desc;The Mamluk Dynasty has increasingly autonomously governed Mesopotamia from Baghdad since 1704. While they have imposed order and some degree of economic prosperity in the region, Dawud Pasha, the current Mamluk leader has shown signs of disloyalty. We will not truly have the region under our control unless we depose him and end Mamluk rule once and for all. It is time to send an envoy to establish control over Mesopotamia. §RWill take about a month to have an effect.§!;;;;;;;;;;;;;
ottoman_invasion_jazira_title;End Jalili Rule in Mosul;;;;;;;;;;;;;
ottoman_invasion_jazira_desc;The Jalili Dynasty has ruled Mosul for more than one hundred years, and has made the city rich and a center of trade. With our current move to centralize the empire, we should send a new ruler to Mosul that is less autonomous. §RWill take about a month to have an effect.§!;;;;;;;;;;;;;
NORMAL_WAR_ESTABLISH_PROTECTORATE_CASUS_BELLI_NAME_TUR_TRI;Ottoman Restoration of Tripoli;;;;;;;;;;;;;
AGRESSION_WAR_ESTABLISH_PROTECTORATE_CASUS_BELLI_NAME_TUR_TRI;Ottoman Restoration of Tripoli;;;;;;;;;;;;;
ottoman_invasion_tripoli_title;Restore Order to Tripolitania;;;;;;;;;;;;;
ottoman_invasion_tripoli_desc;Our vassals in Tripolitania have been unstable for quite a while, and have now fully let their country fall into a civil war. As we saw in Algeria, letting a vassal become ever more autonomous and separate from Konstantiniyye gives colonial powers the opportunity to conquer them. This is our chance to take control of Tripolitania once and for all.;;;;;;;;;;;;;
BLACKWAROPT;Tasmania is now at peace -- but at what cost?;;;;;;;;;;;;;
LEAGUEWAROPT;What an odd reason to start a war.;;;;;;;;;;;;;
KOLUPRISINGOPT;They're playing with fire. We'll burn them.;;;;;;;;;;;;;
TITHEWAROPT;This could end badly.;;;;;;;;;;;;;
france_trolling_portugal_title;Forcing Recognition by Portugal;;;;;;;;;;;;;
france_trolling_portugal_desc;Portugal's absolute monarch, Dom Miguel I, has refused to recognize the legitimacy of the July Monarchy. Miguel, nicknamed 'The Absolutist', abolished the constitution and became the total ruler of Portugal several years ago. This of course motivates him to not recognize our revolutionary monarch. With the OK of Britain and Spain who also oppose absolutism in Portugal, we may dispatch a naval expedition to Lisbon to use gunboat diplomacy to force Miguel's hand in the recognition of the July Monarchy. If not, our navy shall have a little target practice.;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_VNZ_VNR;The Reformist Revolution;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_VNZ_VNR;The Reformist Revolution;;;;;;;;;;;;;
NORMAL_ESTABLISH_PROTECTORATE_CASUS_BELLI_NAME_TUR_TRI;Ottoman Restoration of Tripoli;;;;;;;;;;;;;
AGRESSION_ESTABLISH_PROTECTORATE_CASUS_BELLI_NAME_TUR_TRI;Ottoman Restoration of Tripoli;;;;;;;;;;;;;
MINDELOLANDINGOPT;Dom Miguel will remain in power.;;;;;;;;;;;;;
MINDELOLANDINGMPR;Dom Pedro will be our Liberator! §BPlay as the Constitutionalists§W;;;;;;;;;;;;;
BATTLEPONTEFERREIRAOPT;They will have to fully siege us down!;;;;;;;;;;;;;
CERCODOPORTOOPT;We will bide our time.;;;;;;;;;;;;;
BATTLESTVINCENTOPT;Portugal will rid itself of tyranny.;;;;;;;;;;;;;
BATTLESTVINCENTMPROPT;Honrai a Pátria que a Pátria vos contempla!;;;;;;;;;;;;;
COVADAPIEDADEOPT;We shall come out on top.;;;;;;;;;;;;;
MPRLOSES;\n\nThe Miguelite army, led by General Guedes, set camp on a strong position at the Heights of Asseiceira. Our troops have been deployed to attack their position in three columns, commanded by Colonels Quierós, Nepomuceno and Vasconcelos, which were in turn led by Captain General António de Noronha who was responsible for the capture of Lisbon. The battle was a resounding success for our armies, resulting in Dom Miguel failing to rally his officers behind him for another battle. This marks the end of the civil war, with the usurper Miguel capitulating his title and claim, and being banished from the kingdom.;;;;;;;;;;;;;
MPRLOSESOPT;Deus, Pátria, Rei;;;;;;;;;;;;;
PORLOSESOPT;And may he stay there.;;;;;;;;;;;;;
LAGRANJAOPT;And they fail... again.;;;;;;;;;;;;;
1835TREATYOFLISBOAOPT;A little roadblock passed.;;;;;;;;;;;;;
TORRIJOSPRONOUNCEMENTOPT;They will never win!;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_SPA_SPC;The First Carlist War;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_SPA_SPC;The First Carlist War;;;;;;;;;;;;;
ANTICLERICALRIOTS1835OPT;That was unnecessary.;;;;;;;;;;;;;
ROYALSTATUTE1834OPT;Finally something good coming from the regent.;;;;;;;;;;;;;
FERNANDODIEDOPT;This can't be happening...;;;;;;;;;;;;;
purchase_socotra_title;Purchase Socotra;;;;;;;;;;;;;
purchase_socotra_desc;We require a location to construct a coaling station to be used by the new steamship line on the Suez-Bombay route in the area of the mouth of the Red Sea. It has been proposed that we send an offer to purchase the island of Socotra to the Sultanate of Mahra, the Yemeni state controlling it, as it is perfectly situated along the route.;;;;;;;;;;;;;
AGRESSION_CIVIL_WAR_NAME_POR_MPR;The Liberal Wars;;;;;;;;;;;;;
NORMAL_CIVIL_WAR_NAME_POR_MPR;The Liberal Wars;;;;;;;;;;;;;
oran_french_war_title;The Capture of Oran;;;;;;;;;;;;;
oran_french_war_desc;Now that we have taken Algiers, the next important port to secure the pacification of Algeria is Oran. General Bourmont, who was on the way to seizing the port, has withdrawn his troops after the abdication of Charles X. However, should we choose to, we can send a new force commanded by Marshal Bertrand Clauzel. Further conquests in Algeria are supported by the people, with whom the already successful conquest of Algiers is immensely popular.;;;;;;;;;;;;;
invade_syria_egypt_title;The Invasion of Syria;;;;;;;;;;;;;
invade_syria_egypt_desc;When Sultan Mahmud II called on us in 1825 for aid in the Greek Revolt, he promised us Crete, Cyprus and Morea in return. While we landed a significant army and drove the rebels out of most of the Peloponnese within months, the Ottomans did not hold up their end of the bargain. Now, the time has come to take compensation from them by force. The rich province of Syria is directly on our border and home to religious sites of Islam, Judaism and Christianity. It would make a for a fitting prize to conquer. \n\n§RWarning: You have to merge the brigades that are generated by this decision§W;;;;;;;;;;;;;
ottos_cry_to_russia_title;Appeal to Russia;;;;;;;;;;;;;
ottos_cry_to_russia_desc;The Egyptians have crushed our army. Our only choice is to reach out to the Russians to request their aid in the war to prevent Egypt from capturing Konstantiniyye itself. Though this will demonstrate our weakness internationally, we have no other choice.;;;;;;;;;;;;;
baden_tithe_abolition_title;The Abolition of the Tithes;;;;;;;;;;;;;
baden_tithe_abolition_desc;The practice of tithing, or the mandated payment in-kind of peasants' production to their landlord as part of their feudal obligations, has for over a decade been under scrutiny by our government: In addition to hindering efforts to modernize agricultural practices, transporting and storing tithe goods incurs a significant logistical burden and results in significant wastage of agricultural output. The Baden Estates have come to a resolution to finally begin the abolition of this ancient practice, allowing for estates to forgo tithing in exchange for a compensatory pension equivalent to twenty times a tithe's appraised annual value, with twenty percent of this pension being supplied by a state tithe replacement fund.;;;;;;;;;;;;;
brunswick_constitution_1832_title;The Brunswickian Constitution of 1832;;;;;;;;;;;;;
brunswick_constitution_1832_desc;After the revolution of 1830, liberal reforms and a new constitution have been proposed by members of the Upper House. This constitution would allow voting, but limited by a census suffrage system, which ensures about 40% of Brunswick's male population is allowed to vote. The parliament would also be granted more rights than in most other German states while limiting the Duke's power and monetary budget.;;;;;;;;;;;;;
constitution_1831_saxonia_title;The Saxon Constitution of 1831;;;;;;;;;;;;;
constitution_1831_saxonia_desc;A new constitution has been proposed by King Anton and Prince co-regent Frederick Augustus II, which would transform the Kingdom of Saxony into a parliamentary monarchy. The king would be head of the government, but could not become ruler of another state (save by blood inheritance) without consent of the Diet or parliament. The king's decrees have to be countersigned by at least one of his ministers, and without it, none of the king's acts could be considered valid. The king would have supreme power over religious matters, and could overrule any judgment delivered in court of law. The king has the power to promote laws, and without his consent no proposals for laws may be passed in the Diet.;;;;;;;;;;;;;
champa_jihad_title;Declare a Jihad against Vietnam;;;;;;;;;;;;;
champa_jihad_desc;The Cham people have proven themselves resilient, with dedication to Allah and characteristic determination, against the imperial ambitions of Vietnam. Now Katip Sumat, an Islamist leader and preacher who demands absolute loyalty to Allah and Islam, calls for jihad against the barbarians to the north. Tired of the tyranny of the Vietnamese, our soldiers have voluntarily been waving black banners and calling for war. If Po Phaok The, King of the Cham, accepts the call for holy warfare against the northern invaders, the house of Islam will be expanded, and peace will be guaranteed for generations to come.;;;;;;;;;;;;;
constitution_1831_kassel_title;The Kurhessische Verfassung;;;;;;;;;;;;;
constitution_1831_kassel_desc;A new constitution modeled to some extent after that of England, has been supported by the Elector. This new constitution would establish a popular representation in a Diet or Congress of the provinces, and would extend liberty of speech and that of the press. The constitution would also seek to separate royal and state revenues, and make ministers swear an oath to the constitution, as well as implementing an impeachment system for ministers who break their oath. ;;;;;;;;;;;;;
staatsgrundgesetz_hanova_title;The Staatgrundgesetz;;;;;;;;;;;;;
staatsgrundgesetz_hanova_desc;The Staatsgrundgesetz, a constitution proposed by the estates and supported by cabinet minister Caspar Detlev von Schulte would liberalize our monarchy to appease the left and prevent a repetition of the events of 1830. It would combine the Generalsteuerkasse with the Königliche Generalkasse to a singular Steuerkasse and give the power to set our country's budget to the estates. The city of Hannover's magistrates that the government currently appoints would be made independent with a simple government veto right to their appointment, giving the city more autonomy. More importantly, it would open the upper house of the estates to farmers and the middle class. While staunch conservatives oppose this constitution, it is clearly necessary to maintain the stability of our country.;;;;;;;;;;;;;
althorpact_title;Althorp's Act;;;;;;;;;;;;;
althorpact_desc;The Factory Act, or Althorp's Act, would seek to establish a regular working day, specifically for children in the workforce. Children through the ages 9-12 are limited to 48 hours of work per week, children under the age of 9 would not be allowed in factories (apart from silk mills), children under the age of 18 are not allowed to work at night, children through the ages 9-13 must not work more than 8 hours a day with an hour lunchbreak, children through the ages 14-18 must not work more than 12 hours with an hour lunchbreak. The Act would also establish a Factory Inspectorate, and allow for routine factory inspections.;;;;;;;;;;;;;
AGRESSION_CONQUEST_ANY_NAME_EGY_PLS;The Peasants' Revolt in Palestine;;;;;;;;;;;;;
NORMAL_CONQUEST_ANY_NAME_EGY_PLS;The Peasants' Revolt in Palestine;;;;;;;;;;;;;
AGRESSION_CONQUEST_ANY_NAME_EGY_ALA;The Alawite Revolt;;;;;;;;;;;;;
NORMAL_CONQUEST_ANY_NAME_EGY_ALA;The Alawite Revolt;;;;;;;;;;;;;
FRANKFURTERWACHENSTURMOPT;Divided we stand, united we fall?;;;;;;;;;;;;;
RESTORERSARGQUOTEUNQUOTEOPT;Y'all better watch out for the federales.;;;;;;;;;;;;;
KRAKOWCONSTITUTION1833OPT;Then again, when did we have the power to enforce our independence?;;;;;;;;;;;;;
munchengratz_conference_title;The Münchengrätz Conference;;;;;;;;;;;;;
munchengratz_conference_desc;The Ottomans' fate is inextricably tied to the welfare and security of Central and Eastern Europe. Having been pushed out of the Levant by Egypt, there is an increased risk that the Ottoman Empire may fall and disrupt the balance of power maintained after Napoleon's defeat. Austrian Chancellor Klemens von Metternich, therefore, proposes petitioning our former allies in the Holy Alliance--Prussia and Russia--to act together with us to maintain the Ottomans' stability. This would ensure no one power exerts total control over the Ottomans' domestic and foreign policies--least of all Russia, who gained the ability to close the Dardanelles to foreign trade at will in the Treaty of Unkiar Skelessi. We would also ensure a symbolic preservation of the conservative status quo as each of the monarchies in the former Holy Alliance battle surges of liberalism.;;;;;;;;;;;;;
MUNCHENGRATZA;The Münchengrätz Conference;;;;;;;;;;;;;
MUNCHENGRATZB;The Münchengrätz Conference Fails;;;;;;;;;;;;;
MUNCHENGRATZC;The Münchengrätz Conference Succeeds;;;;;;;;;;;;;
academia_mihaleana_title;Academia Mihaileana;;;;;;;;;;;;;
academia_mihaleana_desc;Iasi lacks a higher learning institution. Perhaps the time has come to change that. We can promote intellectual Georghe Asachi's proposal for founding a new school in the city--one teaching both secondary and tertiary education.;;;;;;;;;;;;;
DEZUIDAFRIKAANOPT;Die Zuid-Afrikaan, uitgawe 1.;;;;;;;;;;;;;
NOONGARMASSACREOPT;Sufficiently exemplary.;;;;;;;;;;;;;
end_ottoman_oppression_title;End the Ottoman Oppression!;;;;;;;;;;;;;
end_ottoman_oppression_desc;The Greek uprisings have done what the western world, and even the Ottoman sultan have considered all but impossible. Without any foreign assistance, the Greek people have thrown out their oppressors from the seat of power in Constantinople, and have laid claim to all that was previously taken from them in centuries past. The city is once again ours, and we can recenter the eastern world once again around that of Constantinople, the city of kings!;;;;;;;;;;;;;
end_ottoman_partisan_title;End the Partisan Raids;;;;;;;;;;;;;
end_ottoman_partisan_desc;Ever since the independence of the Rhomaion state, the local Turkish population and loyalists to the old Sultan's regime have raided the Greek countryside, wreaking havoc on the state's income and on the national economy. With a proper Rhomaion army finally put together, the Ottoman raids can be put to an end, and the perpetrators rightfully put to death.;;;;;;;;;;;;;
end_bureaucratic_rot_title;Clean up the Bureaucracy;;;;;;;;;;;;;
end_bureaucratic_rot_desc;With the Rhomaion state in power once again, one of the greatest weaknesses it unfortunately inherited from the Ottoman empire was a disloyal and rotting bureaucratic structure. With a hefty investment into a bureaucratic reform program, this can be dealt with.;;;;;;;;;;;;;
intervention_italy_1848_title;Intervention in Italy;;;;;;;;;;;;;
expand_germanization_1_title;Expand the Germanization Program;;;;;;;;;;;;;
expand_germanization_1_desc;The process of Germanization, thus far, has been rather slow and small in scale. However, with the realm centralized, it is only natural that these policies be expanded, though it will be costly.;;;;;;;;;;;;;
expand_germanization_2_title;Expand the Germanization Program;;;;;;;;;;;;;
expand_germanization_2_desc;As time wears on, the Germanization program must be further expanded so that the Austrian Empire can bring about yet more central control.;;;;;;;;;;;;;
integrate_naples_title;Integrate the Neapolitan Crown;;;;;;;;;;;;;
integrate_naples_desc;In the aftermath of the Spanish War of Succession, the crown of Naples was awarded in the peace deal to the Hapsburg monarchy. A valuable part of the realm, the Hapsburgs ruled over it over the course of the early 1700s, until losing it in the 1730s to the Bourbon dukes of Parma. With Italy placed under Austrian supervision, this unjust loss can finally be reversed, and Naples restored to its rightful place within the empire.;;;;;;;;;;;;;
EVTNAME00001;The Maroto Controversy;;;;;;;;;;;;;
EVTNAME00002;The Death of Carlos of Molina;;;;;;;;;;;;;
EVTNAME00003;The Death of Carlos VI;;;;;;;;;;;;;
EVTNAME00004;The Death of Juan III;;;;;;;;;;;;;
EVTNAME00005;The Death of Carlos of Madrid;;;;;;;;;;;;;
EVTNAME00006;The Death of Jaime III;;;;;;;;;;;;;
EVTNAME00007;The Portuguese Crisis;;;;;;;;;;;;;
EVTNAME00008;The Restoration of Miguel I;;;;;;;;;;;;;
EVTNAME00009;The Second Coronation of Miguel I;;;;;;;;;;;;;
EVTNAME00010;The Quiet Ceremony;;;;;;;;;;;;;
EVTNAME00011;The Duchy of Portugal;;;;;;;;;;;;;
EVTNAME00016;The Fueros Debate - Carlos of Molina;;;;;;;;;;;;;
EVTNAME00017;The Fueros Debate - Carlos VI;;;;;;;;;;;;;
EVTNAME00018;Carlos VI's Plan;;;;;;;;;;;;;
EVTNAME00019;Assassination Attempt on Carlos VI;;;;;;;;;;;;;
EVTNAME00020;The Flames of Liberalism;;;;;;;;;;;;;
EVTNAME00021;Carlos VI Triumphant;;;;;;;;;;;;;
EVTNAME00022;The Liberal Triumph;;;;;;;;;;;;;
EVTNAME00023;The Fueros Debate - Juan III;;;;;;;;;;;;;
EVTNAME00024;Juan III's Proposal;;;;;;;;;;;;;
EVTNAME00025;Unrest in Catalonia and the Basque Country;;;;;;;;;;;;;
EVTNAME00026;The Rise of Catalan and Basque Nationalism;;;;;;;;;;;;;
EVTNAME00027;The Fueros Debate - Carlos VII;;;;;;;;;;;;;
EVTNAME00028;Carlos VII's Solution;;;;;;;;;;;;;
EVTNAME00029;The Fueros Debate;;;;;;;;;;;;;
EVTNAME00030;The Fueros Debate;;;;;;;;;;;;;
EVTNAME00031;The Fueros Debate;;;;;;;;;;;;;
EVTNAME00032;The Fueros Debate;;;;;;;;;;;;;
EVTNAME00033;The Fueros Debate;;;;;;;;;;;;;
EVTNAME00034;The Fueros Debate;;;;;;;;;;;;;
EVTNAME00035;The Fueros Debate;;;;;;;;;;;;;
EVTNAME00036;The Resolution of the Fueros Debate;;;;;;;;;;;;;
EVTNAME00037;The Papacy Under Threat;;;;;;;;;;;;;
EVTNAME00038;The Ecclesiastical War - Spanish Victory;;;;;;;;;;;;;
EVTNAME00039;Spanish Victory;;;;;;;;;;;;;
EVTNAME00040;The Ecclesiastical War - Papal Italy;;;;;;;;;;;;;
EVTNAME00041;The Ecclesiastical War - Divided Italy;;;;;;;;;;;;;
EVTNAME00042;The Ecclesiastical War - Italy Victorious;;;;;;;;;;;;;
EVTNAME00043;The Sacrilege Controversy;;;;;;;;;;;;;
EVTNAME00044;Intervention in Belgium?;;;;;;;;;;;;;
EVTNAME00045;Intervention in Belgium?;;;;;;;;;;;;;
EVTNAME00046;The Dutch Accept;;;;;;;;;;;;;
EVTNAME00047;The Dutch Refuse;;;;;;;;;;;;;
EVTNAME00048;Victory in Belgium;;;;;;;;;;;;;
EVTNAME00049;Instability of the Bourbon Regime;;;;;;;;;;;;;
EVTNAME00050;Succession of Louis XIX;;;;;;;;;;;;;
EVTNAME00051;The Death of Louis XIX;;;;;;;;;;;;;
EVTNAME00056;The Land Crisis;;;;;;;;;;;;;
EVTNAME00057;Nobility in the Army;;;;;;;;;;;;;
EVTNAME00058;Republican Coup;;;;;;;;;;;;;
EVTNAME00059;Coup Attempt thwarted;;;;;;;;;;;;;
EVTNAME00060;Bourbon Victory;;;;;;;;;;;;;
EVTNAME00061;Republican Victory;;;;;;;;;;;;;
EVTNAME00062;The Arpitan Movement;;;;;;;;;;;;;
EVTNAME00064;Securing France;;;;;;;;;;;;;
land_crisis_fixed_title;End the Land Crisis;;;;;;;;;;;;;
land_crisis_fixed_desc;The land crisis that began in the 1830s has become an increasingly large pain in the side of the Bourbon administration, torn between the pull of popular opinion and modernization, and the opinions of the aristocracy that make up the backbone of the monarchy's support. With the continuing introduction of more efficient technologies into the French economy, the government finally has an opportunity to bring a definitive end to the agricultural crisis.;;;;;;;;;;;;;
EVTNAME00065;Resolving the Land Crisis;;;;;;;;;;;;;
EVTNAME00066;La Légion Royale;;;;;;;;;;;;;
EVTNAME00075;German Policy;;;;;;;;;;;;;
EVTNAME00076;Bourbon offer of neutrality;;;;;;;;;;;;;
EVTNAME00077;$FROMCOUNTRY$ declines;;;;;;;;;;;;;
EVTNAME00078;The Treaty of Strasbourg;;;;;;;;;;;;;
EVTNAME00080;Confederazione Italiana;;;;;;;;;;;;;
EVTDESC00080;With the rise of the Bourbon Empire as a unified entity, it has come to pass that, inevitably, mutual security become more important than individual squabbles over such issues as Italian unification. A proposal has come into government circles of a Confederazione Italiana, a confederation of the Italian states into a single, loosely unified state, capable of withstanding the Bourbon Empire, or at least do so more reasonably than various disunited principalities.;;;;;;;;;;;;;
EVTNAME00081;Joining the Confederazione Italiana;;;;;;;;;;;;;
EVTDESC00081;Event to make sure people join it.;;;;;;;;;;;;;
EVTNAME00082;Manifesto on German Unity;;;;;;;;;;;;;
EVTDESC00082;With the formation of the Bourbon Empire on the border of the German Confederation, fears of French reprisal against Germany, irrespective of any prior guarantees or relationships. The German realms have gathered together to unite into a single federal state, without respect for the rivalry between Austria and Prussia to unify under a single banner, under hopes of stemming the tide of Bourbon expansion.;;;;;;;;;;;;;
EVTNAME00083;Manifesto on German Unity;;;;;;;;;;;;;
EVTDESC00083;Event to make sure everyone gets annexed;;;;;;;;;;;;;
EVTNAME00084;Manifesto on German Unity;;;;;;;;;;;;;
EVTDESC00084;Germany is uniting due to the Bourbon threat, with or without us.;;;;;;;;;;;;;
EVTNAME00085;Manifesto on German Unity;;;;;;;;;;;;;
EVTDESC00085;Germany is uniting with or without us. If we join, our empire will be forfeit.;;;;;;;;;;;;;
EVTNAME00086;The Declaration of Prague;;;;;;;;;;;;;
EVTDESC00086;In the aftermath of the Bourbon Empire's declaration, the geopolitical situation in Europe has rapidly altered its course in response. Fears of a Franco-Spanish domineering force across the European continent has spurred on a fearful response unseen since the days of Napoleon Bonaparte himself. The brazen violation of the treaty of Utrecht has not gone unnoticed, and the beginnings of an international coalition have come into being. A declaration has been issued from the powers, meeting in Prague, declaring the state of the Bourbon Empire to be an illegitimate construct of a state and an existential threat to peace in Europe. It is expected that within a year, the empires of Europe will make their move. Whether we weather the storm or not will determine if the Bourbon Empire has a future in the world to begin with.;;;;;;;;;;;;;
EVTNAME00087;The Second War of Spanish Succession;;;;;;;;;;;;;
EVTDESC00087;The powers of Europe have now made their move, in hopes of putting an end to the personal union between Spain and France. With little room for error and little chance of leniency should the French nation fail to assert itself for a third time in recent memory, the result of this war will determine the fate of both realms, perhaps for the rest of the century.;;;;;;;;;;;;;
EVTNAME00088;The Coalition of Prague;;;;;;;;;;;;;
EVTDESC00088;As per the Declaration of Prague we are an interested party to the dismantling of the Bourbon Empire. It is in our best interest to take part in this war, though we can always choose to back out if it is necessary.;;;;;;;;;;;;;
EVTNAME00089;The Peace of Lubeck;;;;;;;;;;;;;
EVTDESC00089;Despite our best efforts, the realm of the Bourbon Empire has been beaten and broken by the vast efforts of the coalition levied against it. In the aftermath of the war, the Empire has been forced to split into its constituent parts, neither of which permitted to house the House de Bourbon any longer, but rather emplaced under responsible governments set up by the victors to ensure this situation never occurs again. The Empire is broken, and will likely never rise again.;;;;;;;;;;;;;
EVTNAME00116;Integrating Poland;;;;;;;;;;;;;
EVTDESC00116;Ever since the Polish Partition, the Poles have long languished under foreign rule, including our own. However, whilst the Prussians and Russians have oppressed Poles to a great degree, the Austrian Empire has given to them a relatively light burden, compared to the struggles they face elsewhere. With the conquest of Poland complete, the kingdom can be integrated into the empire wholesale.;;;;;;;;;;;;;
EVTNAME00117;The Greek Revolution - Total Defeat;;;;;;;;;;;;;
EVTDESC00117;The unthinkable has happened. Despite our best efforts, the Greek revolution has achieved even its most ludicrous goals, beating us back time and time again across the Balkan provinces and throwing our empire into utter chaos. With the leadership of the empire crumbling outright, we have been forced to come to terms with the upstarts, ceding the whole of our Greek balkan provinces and the Anatolian coastline to the upstart rebels, and ceding the rest of our disconnected holdings either to independent states or to the very same Greeks. Our empire has reached a low unseen ever before, and this humiliation will not be soon forgotten.;;;;;;;;;;;;;
EVTNAME00118;The Basileia tos Rhomaion;;;;;;;;;;;;;
EVTDESC00118;With the success of the revolution being far more than nigh any could have predicted, the beginnings of what can only be the finest hour in Rhomaion history are at hand. While the government may not yet be formed, only a provisional government under various bickering revolutionary leaders present, and the constitution is as of yet a greatly new concept, the ecstatic Greek citizens have already taken to calling the newly independent state the 'Basileia tos Rhomaion,' the new Roman Empire. With the city of Constantinople in Greek hands, and the Aegaean sea controlled on both sides by the meteorically rising state, there is little reason to not accept this title as it stands.;;;;;;;;;;;;;
EVTNAME00119;An empire...of rot.;;;;;;;;;;;;;
EVTDESC00119;While the Greek people may yet call this the true Basileia tos Rhomaion, the Roman Empire, the state inherited by the revolution is anything but the glorious empire it claims pretense to. Despite the victory of the revolution, state control over the vast territory of land inherited from the Ottoman sultanate is loose at best, roaming bands of Turkish and Albanian irregulars still roaming the countryside and raiding Greek settlements, the bureaucracy is greatly strained, the political leadership of the nation is dominated by infighting, and a great deal of officials have questionable loyalties at best to the security of the Rhomaion state. It may yet be an empire, but it has a long way to go to being a true successor to the thrones of old.;;;;;;;;;;;;;
EVTNAME00129;The Provisional Rhomaion Government;;;;;;;;;;;;;
EVTDESC00129;The Rhomaion state is currently in the midst of a tenuous provisional government, headed by Andreas Zaimis, a conservative appointed as the head of the government as an interrim leader until the revolution could be successful. With the revolution successful, and international mediation having failed, the crisis of power can be delayed no longer. There are many leaders, with many differing interests for what the Greek state should be. There is Theodoros Kolokotronis, the head of the Russian faction of government, and a firm advocate for a strong Rhomaion monarchy backed by the Tsar, there is Alexandros Mavrokordatos, the former writer of the Hellene constitution, but criticized for structuring it around his own power and influence, Yannis Makriyannis, a moderate liberal and firm advocate of constitutionalism, Petrobey Mavromachalis, a natural local leader whose family has kept the Ottomans back for a long time, and Nikitaras, known as the Turk Eater for his fervent and principled war effort against the Ottoman Sultan. Whomever is chosen as the successor by Zaimis will determine the fate of the Rhomaion state for years to come.;;;;;;;;;;;;;
EVTNAME00121;The Agenda of Kolokotronis;;;;;;;;;;;;;
EVTDESC00121;Kolokotronis has emerged from the initial bout of succession as the emergent power in domestic Rhomaion affairs. A firm and devout supporter of the Russian faction of politics, the Rhomaion state is expected to lean heavily into the Russian Tsardom's sphere of influence under his guidance. Furthermore, it is highly likely that he will seek to instate a Russian prince as monarch of the empire. It is doubtless that in time the English and French factions of politics will come to find great disagreement in the leadership of the realm, but that matters little.;;;;;;;;;;;;;
EVTNAME00122;A Russian Monarch?;;;;;;;;;;;;;
EVTDESC00122;It is no secret that with Kolokotronis in charge, the Russian faction of Rhomaion politics has sway in the highest branches of government, and the power to enact great change in this crucial time for development in the state. As such, it was inevitable that they use their majority to appoint a Russian prince, the Grand Duke Nicholas Nikolaevich, as king of the Rhomaion state, forming it from a mere republic into a true kingdom, supported by its natural and ancient ally in Russia to the north. While this will surely displease many constitutionalists and liberals, these sentiments will undoubtedly fall to the wayside in the face of a true monarch's benevolent rule.;;;;;;;;;;;;;
EVTNAME00123;The Opposition of Mavrokordatos;;;;;;;;;;;;;
EVTDESC00123;Mavrokordatos, the writer who put to pen the first Greek constitution, has increasingly come to blows with the current Rhomaion state government from his power base in the western reaches of the country. Having built the bureaucracy of the state around himself, it has proven difficult to dislodge him from his support base in the west without bringing about a second civil war in the country. Should we choose to leave him be, he will continue to prove a nuisance to Rhomaion state affairs for quite some time, but should we take this to a military conclusion, it is inevitable that the result be a renewal of armed hostilities in the western reaches of the state.;;;;;;;;;;;;;
EVTNAME00124;Nicholas the Wastrel;;;;;;;;;;;;;
EVTDESC00124;Nicholas, the great king of the Rhomaion state, has unfortunately begun to prove himself as less than great in practice as a monarch. While his ascention has all but guaranteed continued friendship with the Russian Tsardom, it has quickly become apparent that Nicholas was never properly trained to rule this newly independent state through these turbulent opening years. A chronic wastrel, he has taken to rampant spending and partying instead of ruling the empire he was handed, and instead of using his own estate, he has also taken to using up state funds to do so. To add further insult to injury, he has proven himself greatly interested in military affairs, forcing military reorganization to make himself the head of the Rhomaion armed forces, and already the former military leadership of the revolution has found his leadership distinctly lacking, and unfortunately too stubborn to placate. His continued rule may well prove to be disastrous for the people of the Rhomaion state.;;;;;;;;;;;;;
EVTNAME00125;The Slavic Mandate;;;;;;;;;;;;;
EVTDESC00125;Despite the great many failings of the Russian monarch ruling over the Rhomaion state, one great boon has been brought to light in recent times. With a Russian orthodox monarch at the helm of the kingdom, the character of the nation has been made such that integration of Slavic peoples in the realm will be far smoother and easier than it would otherwise be, as fears of Rhomaion domination of their communities would be greatly unfounded when the state is itself run by a Slavophile royal house. This has proven to dissuade independence movements and even encourage integration amongst the Slavic peoples of the realm.;;;;;;;;;;;;;
EVTNAME00126;Nicholas the Bastard;;;;;;;;;;;;;
