Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish
CRI_liberal;Milliy Firqa (Jadidi);Faction libérale;Die liberale Fraktion;;La facción liberal;;;;;;;;;
CRI_reactionary;Ulema Jemyeti;Faction nationaliste;Die nationalistische Fraktion;;La facción nacionalista;;;;;;;;;
CRI_radical;Taraqqiparvarlar;Faction radicale;Die radikale Fraktion;;La facción radical;;;;;;;;;
CRI_socialist;Milliy Firqa (Sol);Faction socialiste;Die sozialistische Fraktion;;La facción socialista;;;;;;;;;
CRI_communist;Socialist Firqa;Faction communiste;Die kommunistische Fraktion;;La facción comunista;;;;;;;;;
CRI_fascist;Ulug Ulus;Faction fasciste;Die faschistische Fraktion;;La facción fascista;;;;;;;;;
cherokee_ultimate_insanity_title;Expand from Coast to Coast;;;;;;;;;;;;;
cherokee_ultimate_insanity_desc;Since the white man arrived in America, he pushed us constantly in our home, putting the seeds of division amongst us, dividing and conquering us whenever he got the opportunity. No more we, the owners of the Turtle Island, will be pushed by the outsiders as they see fit. The time has come to release the shackles of our brothers on the West Coast and unite ourselves as a single entity against the white man for the final crusade.;;;;;;;;;;;;;
proclaim_bulgarian_empire_title;Proclaim the Bulgarian Empire;;;;;;;;;;;;;
proclaim_bulgarian_empire_desc;After centuries of humiliation and yoke, the Ottomans have at last been expelled from Constantinople. The ripples that our triumphal reconquest creates shall be felt in every Orthodox household and in every palace of the Great Powers. Thus let us rightfully seize the moment and declare a new Christian empire in Constantinople - the Bulgarian Empire!;;;;;;;;;;;;;
ASY_conservative;Khoyada;;;;;;;;;;;;;
ASY_socialist;Gaba Shawtapaya Atouraya;;;;;;;;;;;;;
ASY_liberal;Mtakasta;;;;;;;;;;;;;
ASY_reactionary;Edta d-Madenha;;;;;;;;;;;;;
ASY_radical;Dawronoye;;;;;;;;;;;;;
ASY_fascist;Atranaya;;;;;;;;;;;;;
ASY_communist;Gaba Qomunistaya;;;;;;;;;;;;;
claim_lost_plc_lands_title;Reclaim the Lost Lands of the Commonwealth;;;;;;;;;;;;;
claim_lost_plc_lands_desc;§RGain 5 infamy§! The Commonwealth is again on the world map, and with that comes a new wave of irredentism. Prussia, Inflanty and the governorates of the east must be taken back from the greed of Berlin and the perfidy of Muscovy, lest they descend upon us like vultures again!;;;;;;;;;;;;;
claim_plc_ethnic_territories_title;Claim Ethnic Polish-Lithuanian Lands;;;;;;;;;;;;;
claim_plc_ethnic_territories_desc;§RGain 12 infamy§! As the Commonwealth enters a new era, so does our populace pick up its new ideas. Calls of nationalist Poles and Lithuanians mount to save our oppressed countrymen in Silesia and Lithuania Minor, who the Germans aim to turn into one of them through force. We must save them before it's too late!;;;;;;;;;;;;;
claim_plr_ethnic_territories_title;Claim Ethnic Ruthenian Lands;;;;;;;;;;;;;
claim_plr_ethnic_territories_desc;§RGain 8 infamy§! With the recognition of the Ruthenians as the third pillar of our Commonwealth, their culture has flourished. Many now clamor for the rescue of their brethren still under the boot of foreign powers - those in Smolensk, on the old Wild Fields and even across the Carpathians. Let us embrace these claims and show the powers that partition how strong we have gotten!;;;;;;;;;;;;;
poland_baltic_thingy_title;The Rights of the Livonians;;;;;;;;;;;;;
poland_baltic_thingy_desc;Livonia - that is Estonia, Inflanty and Courland - has been under Swedish and Russian control for the last two centuries, with both countries having marginalized the native peoples there. Our country, however, is a just and noble claimant to this land - and we shall prove it through granting equal rights to the people who inhabit it!;;;;;;;;;;;;;
become_poland_lithuania_ruthenia_title;The Polish-Lithuanian-Ruthenian Commonwealth;;;;;;;;;;;;;
become_poland_lithuania_ruthenia_desc;With the Commonwealth reborn from the grave, the Ruthenians once again live robbed of their full rights. Sympathizers in the government have proposed the creation of a third, Ruthenian territory, in which the locals will be free to govern themselves in their native tongue as equal peoples to the Poles and Lithuanians. Further proposed amendments of the constitution will cement their status as the newest integral part of our state, free of oppression. The reform pack will transform our Polish-Lithuanian Commonwealth into the Polish-Lithuanian-Ruthenian Commonwealth. Long live the new Commonwealth!;;;;;;;;;;;;;
POLONIA700_title;Triumph of the Commonwealth;;;;;;;;;;;;;
BOR_conservative_2;Royaliste;;;;;;;;;;;;;
EVT_bb_acc_title;Bourbon Acceptance;;;;;;;;;;;;;
EVT_bb_acc_opt;What have the Bourbons ever done for us?;;;;;;;;;;;;;
generic_survived_modifier;Solidified Union;;;;;;;;;;;;;
generic_survived_modifier_desc;After managing to stay united as a single country, we can now start focusing on rebuilding, getting stronger and make use of the military experience acquired from these separatist revolts in order to become a stronger nation, as well as start pumping up our economic reforms in the short term.;;;;;;;;;;;;;
resistance_to_new_regime;Resistance to the New Regime;;;;;;;;;;;;;
resistance_to_new_regime_desc;Our people are voicing unrest at the recent changes in our national politics.;;;;;;;;;;;;;
found_new_ca_empire_title;Found a New Empire in Central Asia;;;;;;;;;;;;;
found_new_ca_empire_desc;The Lion and the Bear wish to hunt on our land. Have they no shame as they gaze upon the cities of the Silk Road, the homes of philosophers and mathematicians? Have they no fear as they tread on the spirits of Genghis Khan and Amir Timur? Let them know that a new Ghazi arises - last of the Great Conquerors - the final Empire in Central Asia.;;;;;;;;;;;;;
EVTNAME700700;$COUNTRYNAME$;;;;;;;;;;;;;
EVT700700OPTA;A new renaissance is upon our people.;;;;;;;;;;;;;
EVT700700OPTB;I am Jamshid, I am Khosrow, I am Rostam and Fereydun.;;;;;;;;;;;;;
EVT700700OPTC;Genghis Khan is clearly listed in my family tree here.;;;;;;;;;;;;;
EVT700700OPTD;Babur, guide my sword against the perfidious!;;;;;;;;;;;;;
EVT700700OPTE;Oh Prophet, make war upon infidels and unbelievers, and treat them with severity...;;;;;;;;;;;;;
EVTNAME700701;To Whip the Bear;;;;;;;;;;;;;
EVTNAME700702;Twilight Over Siberia;;;;;;;;;;;;;
EVTNAME700703;The Conquest of Delhi;;;;;;;;;;;;;
EVTNAME700704;The Conquest of Iran;;;;;;;;;;;;;
sart_renaissance;The Sart Renaissance;;;;;;;;;;;;;
sart_renaissance_desc;Culture and thought flourish under our new empire.;;;;;;;;;;;;;
KHI_conservative;Qo'ng'irotlar;;;;;;;;;;;;;;;;x;;;;
KHI_reactionary;Ulamo;;;;;;;;;;;;;;;;x;;;;
KHI_liberal;Ziyalilar;;;;;;;;;;;;;;;;x;;;;
KHI_radical;Inqilobchilar;;;;;;;;;;;;;;;;x;;;;
KHI_radical_1;Taraqqiparvarlar;;;;;;;;;;;;;;;;x;;;;
KHI_socialist;Yosh Xorazmliklar;;;;;;;;;;;;;;;;x;;;;
KHI_communist;Xorazm Kommunistlar;;;;;;;;;;;;;;;;x;;;;
KKP_conservative;To'ranilar;;;;;;;;;;;;;;;;x;;;;
KKP_reactionary;Ulamo;;;;;;;;;;;;;;;;x;;;;
KKP_liberal;Olako'zlar;;;;;;;;;;;;;;;;x;;;;
KKP_radical;Inqilobchilar;;;;;;;;;;;;;;;;x;;;;
KKP_radical_1;Taraqqiparvarlar;;;;;;;;;;;;;;;;x;;;;
KKP_socialist;Yosh Qoraqalpoqliklar;;;;;;;;;;;;;;;;x;;;;
KKP_communist;Qoraqalpoqlar Kommunistlar;;;;;;;;;;;;;;;;x;;;;
BUK_conservative;Mang'itlar;;;;;;;;;;;;;;;;x;;;;
BUK_reactionary;Ulamo;;;;;;;;;;;;;;;;x;;;;
BUK_liberal;Ziyalilar;;;;;;;;;;;;;;;;x;;;;
BUK_radical;Inqilobchilar;;;;;;;;;;;;;;;;x;;;;
BUK_radical_1;Taraqqiparvarlar;;;;;;;;;;;;;;;;x;;;;
BUK_socialist;Yosh Buxoroliklar;;;;;;;;;;;;;;;;x;;;;
BUK_communist;Buxoro Kommunistlar;;;;;;;;;;;;;;;;x;;;;
KOK_conservative;Minglar;;;;;;;;;;;;;;;;x;;;;
KOK_reactionary;Ulamo;;;;;;;;;;;;;;;;x;;;;
KOK_liberal;Ziyalilar;;;;;;;;;;;;;;;;x;;;;
KOK_radical;Inqilobchilar;;;;;;;;;;;;;;;;x;;;;
KOK_radical_1;Taraqqiparvarlar;;;;;;;;;;;;;;;;x;;;;
KOK_socialist;Yosh Qo'qonliklar;;;;;;;;;;;;;;;;x;;;;
KOK_communist;Qo'qon Kommunistlar;;;;;;;;;;;;;;;;x;;;;
TKS_conservative;An'anaviylar;;;;;;;;;;;;;;;;x;;;;
TKS_reactionary;Ulamo;;;;;;;;;;;;;;;;x;;;;
TKS_liberal;Ziyalilar;;;;;;;;;;;;;;;;x;;;;
TKS_radical;Taraqqiparvarlar;;;;;;;;;;;;;;;;x;;;;
TKS_socialist;Yosh Turklar;;;;;;;;;;;;;;;;x;;;;
TKS_communist;Turk Kommunistlar;;;;;;;;;;;;;;;;x;;;;
ca_slapping_siberia;Claims over Siberia;;;;;;;;;;;;;
ca_slapping_siberia_desc;Our resolve to push the Russians back beyond the Urals is still respected.;;;;;;;;;;;;;
KUN_conservative;Qataghanlar;;;;;;;;;;;;;
SSB_conservative;Kenegeslar;;;;;;;;;;;;;
mughal_zindabad_title;Victory over the British;;;;;;;;;;;;;
mughal_zindabad_desc;The Sepoys have been victorious and the British are now powerless to hold onto India. Let us send them a formal message demanding their official withdrawal from the subcontinent.;;;;;;;;;;;;;
AFG_conservative;Loya Jirga;;;;;;;;;;;;;
AFG_liberal;Westernizers;Faction Pashah;Pascha-Fraktion;;Facción Bajá;;;;;;;;;
AFG_liberal_2;Young Afghan Party;Faction Pashah;Pascha-Fraktion;;Facción Bajá;;;;;;;;;
AFG_reactionary;Traditionalists;Faction nationaliste;Die nationalistische Fraktion;;La facción nacionalista;;;;;;;;;
AFG_radical;Constitutionalists;Faction radicale;Die radikale Fraktion;;La facción radical;;;;;;;;;
AFG_socialist;Parcham;Faction socialiste;Die sozialistische Fraktion;;La facción socialista;;;;;;;;;
AFG_communist;Khalq;Faction communiste;Die kommunistische Fraktion;;La facción comunista;;;;;;;;;
AFG_fascist;Afgan Mellat Gund;Faction fasciste;Die faschistische Fraktion;;La facción fascista;;;;;;;;;
BDK_conservative;Yarlar;;;;;;;;;;;;;
KAZ_liberal;Taraqqiparvarlar;Faction libérale;Die liberale Fraktion;;;;;;;;;;;
KAZ_liberal_2;Alash Partiasy;Faction libérale;Die liberale Fraktion;;;;;;;;;;;
KAZ_reactionary;Qadimlar;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;
KAZ_radical;Jas Azamat;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
KAZ_socialist;Ush Jüz;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
KAZ_communist;Jas Qazaq;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
KAZ_fascist;Alash Militsiyatsy;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
EVTNAME800;The Official Russian Flag;;;;;;;;;;;;;
EVT800OPTA;Sign the decree on the new heraldic flag.;;;;;;;;;;;;;
EVT800OPTB;Sign the decree on the old civil ensign.;;;;;;;;;;;;;
EVTNAME801;Amendment to the Flag Decree;;;;;;;;;;;;;
EVT801OPTA;Let us use white-blue-red.;;;;;;;;;;;;;
EVT801OPTB;Keep the current flag.;;;;;;;;;;;;;
EVTNAME802;Imperial Flag in Disuse;;;;;;;;;;;;;
EVT802OPTA;White, blue and red will be fully used again.;;;;;;;;;;;;;
EVT802OPTB;Unshakably decree the usage of the heraldic flag!;;;;;;;;;;;;;
YUG_fascist;Jugoslavenska Radikalna Zajednica;;;;;;;;;;;;;
EVTNAME810;Death of Marie Louise;;;;;;;;;;;;;
EVT810OPTA;What a spin on flag design!;;;;;;;;;;;;;
EVT810OPTB;That flag looks too radical! Denied, arrested, executed!;;;;;;;;;;;;;
GER_liberal_2;Nationalliberale;Nationalliberale ;Nationalliberale ;;Nationalliberale ;;;;;;;;;
GER_conservative_3;Freikonservative Partei;;;;;;;;;;;;;
GER_reactionary_2;Deutschkonservative Partei;Nationale Partei;Nationale Partei;;Nationale Partei;;;;;;;;;
SLU_conservative;Šturovites;;;;;;;;;;;;;
SLU_conservative_1;Slavic Christian Union;;;;;;;;;;;;;
SLU_liberal;Palackites;;;;;;;;;;;;;
SLU_liberal_1;Constitutional Democratic Party;;;;;;;;;;;;;
SLU_reactionary;Slavophiles;;;;;;;;;;;;;
SLU_reactionary_1;All-Slavic Black Veche;;;;;;;;;;;;;
SLU_radical;Sabinites;;;;;;;;;;;;;
SLU_radical_1;National Revolutionary Congress;;;;;;;;;;;;;
SLU_socialist_1;Socialist Revolutionary Party;;;;;;;;;;;;;
SLU_socialist_2;Labour Party;;;;;;;;;;;;;
SLU_communist;Communist Party;;;;;;;;;;;;;
SLU_fascist;All-Slavic National Radical Party;;;;;;;;;;;;;
miskito_nationalists_spawned_title;Greater Mosquitia;;;;;;;;;;;;;
miskito_nationalists_spawned_desc;The Europeans like to "claim" that "land" is theirs. Most curious! We shall embrace this concept to fit in with the rest of the civilized countries. Mosquitia's natural borders shall be, say... from here to here? Fetch me a pencil posthaste, my good sir! And the good parchment!;;;;;;;;;;;;;
EVTNAME811;Ordinance on the National Flag;;;;;;;;;;;;;
EVT811OPTA;Sign it!;;;;;;;;;;;;;
EVTNAME812;A New Flag?;;;;;;;;;;;;;
EVT812OPTA;It only makes sense.;;;;;;;;;;;;;
EVT812OPTB;No, Britain should change!;;;;;;;;;;;;;
form_england_wales_title;The Anglo-Welsh Compromise;;;;;;;;;;;;;
form_england_wales_desc;As our power has been greatly diminished, growing voices now clamour for the independence of Wales to further our demise. A disaster of such proportions would leave fair old England in a most rumpuous position, a laughing stock of Europe, far behind even the dreadful Hibernian. To regain momentum, perhaps it would be prudent to call upon the glory of the Tudors and the majesty of Arthur - to find a compromise and create a new United Kingdom: that of England and Wales.;;;;;;;;;;;;;
proclaim_bulgarian_empire_title;Restore Constantinople;;;;;;;;;;;;;
proclaim_bulgarian_empire_desc;Since 1453, the Turks have defiled the greatest Orthodox city, enslaved our brethren and forced the Patriarch to do the bidding of their Sultan. No more! As $COUNTRY_ADJ$ soldiers triumphantly enter the heart of Rome in the East, there is but one thing to do: proclaim a new empire in the name Christ Pantokrator.;;;;;;;;;;;;;
TCA_conservative;Conservative Party;;;;;;;;;;;;;
TCA_liberal;Democratic Party;;;;;;;;;;;;;
TCA_reactionary;Traditionalist Party;;;;;;;;;;;;;
TCA_radical;Republican Party;;;;;;;;;;;;;
TCA_socialist;Social Democratic Party;;;;;;;;;;;;;
TCA_communist;Communist Party;;;;;;;;;;;;;
TCA_fascist;Iron Wolves;;;;;;;;;;;;;
UBD_strenghten_governorship_title;Strengthen Our Governorship;;;;;;;;;;;;;
UBD_strenghten_governorship_desc;Estabilished after the Greater Northern War, the three Baltic governorates - Livonia, Estland and Courland, after years of Russian rule, have shared the same governor since 1800, despite technically still being separate. If we were able to project enough power in our governorates, we might be able to de facto control all of them, despite the reality on paper being different. But who knows? Perhaps the Tsar would be partial to allow this fait accompli...;;;;;;;;;;;;;
EVTNAME31500002;Baltic Governor strengthens Power;;;;;;;;;;;;;
EVTNAME31500003;The Baltic German Plea For Help;;;;;;;;;;;;;
UBD_secret_treaty_title;Secret Treaty with the Germans;;;;;;;;;;;;;
UBD_secret_treaty_desc;It is becoming more and more probable that the Tsar will decide to abolish our governorate and administrate us directly. In such an event, we would be nigh powerless to resist the Russian onslaught. Our only hope would be to sign a secret treaty with our German brothers in Berlin - that they would come defend us from Russian aggression. We cannot let ourselves become lost!;;;;;;;;;;;;;
LSK_reactionary_company;Orthodox Church;;;;;;;;;;;;;
LSK_conservative_company;Company Rule;;;;;;;;;;;;;
LSK_liberal_company;Petersburg Shareholders;;;;;;;;;;;;;
LSK_radical_company;Promyshlenniki;;;;;;;;;;;;;
LIE_liberal;Liberalen;;;;;;;;;;;;;
LIE_liberal_2;Christlich-Soziale Volkspartei;;;;;;;;;;;;;
LIE_reactionary;Ultrakonservativen;;;;;;;;;;;;;
LIE_conservative;Konservativen;;;;;;;;;;;;;
LIE_conservative_2;Fortschrittliche Bürgerpartei;;;;;;;;;;;;;
LIE_socialist;Arbeiterverband;;;;;;;;;;;;;
LIE_radical;Revolutionsverein;;;;;;;;;;;;;
LIE_communist;Arbeiterpartei;;;;;;;;;;;;;
LIE_fascist;Volksdeutsche Bewegung;;;;;;;;;;;;;
ABK_reactionary;Sharvashidze;;;;;;;;;;;;;
MIG_reactionary;Dadiani;;;;;;;;;;;;;
SVA_reactionary;Dadeshkeliani;;;;;;;;;;;;;
GEO_pirveli;Pirveli Dasi;;;;;;;;;;;;;
GEO_meore;Meore Dasi;;;;;;;;;;;;;
GEO_mesame;Mesame Dasi;;;;;;;;;;;;;
GEO_terg;Tergdaleulebi;;;;;;;;;;;;;
GEO_conservative;Erovnul-Demokratiuli Partia;;;;;;;;;;;;;
GEO_liberal;Mitsis Mesakutreta Erovnuli Partia;;;;;;;;;;;;;
GEO_reactionary;Bagrationi;;;;;;;;;;;;;
GEO_reactionary_ktk;Kartvel Traditsionalistta Kavshiri;;;;;;;;;;;;;
GEO_radical;Tsisperqantselebi;;;;;;;;;;;;;
GEO_socialist;Sakartvelos Sotsial-Demokratiuli Partia;;;;;;;;;;;;;
GEO_communist;Sakartvelos Komunisturi Partia;;;;;;;;;;;;;
GEO_fascist;Erovnuli Ertobis Darazmuloba "Tetri Giorgi";;;;;;;;;;;;;
treaty_of_georgievsk_title;Restore the Treaty of Georgievsk;;;;;;;;;;;;;
treaty_of_georgievsk_desc;Erekle II, the king of Kartli and Kakheti, has requested our protection back in 1783, to which we have most magnanimously agreed by signing the Treaty of Georgievsk. However, since the Georgians have been unable to defend themselves properly against the Persians, even after our garrison has left Tbilisi, our gracious sovereign Peter I has decreed to directly annex the kingdom in 1801. Now that the Persians have been beaten back, perhaps it would be prudent to re-uphold the treaty and restore our loyal servant and chamberlain, the prince Bagrat, son of George XII, in Kartli-Kakheti, instead of relying on the unpopular viceregal administration? A strong and loyal native state would, after all, be a beneficial buffer zone between the Ottoman and Persian empires...;;;;;;;;;;;;;
king_of_all_georgia_title;King of All Georgia;;;;;;;;;;;;;
king_of_all_georgia_desc;§RAvailable until 1837!§! Ever since the year 1465 there has been no king of a united Georgia. We have been fragmented into numerous bickering branches and used by various foreign powers. It is only as if through a divine miracle that Russia even decided to restore the Treaty of Georgievsk. If we want to become a strong state, we must resolve the ancient succession issues. The princes (batonishvili) are unfortunately too numerous to be killed off - it appears that the only option would be to pay them generous compensations and establish some sort of a set legal framework for their positions within the court and administration. Finally, we should get formal recognition from our overlord to confirm our rulership over all Georgia, which would also enable us to slowly absorb the fiefdoms in the west. The whole endeavor will be costly, but it is necessary. For a united Georgia!;;;;;;;;;;;;;
paying_off_bagratid_leeches;Batonishvili Compensations;;;;;;;;;;;;;
paying_off_bagratid_leeches_desc;We are paying off the myriad Bagratid princes in return for the recognition of our branch as the first kings of all Georgia since George VIII in 1465.;;;;;;;;;;;;;
GEO_found_society_title;Found the Society for the Spreading of Literacy Among Georgians;;;;;;;;;;;;;
GEO_found_society_desc;The Society was a charity founded by the noblemen Ilia Chavchavadze, Dimitri Kipiani, and local educators like Iakob Gogebashvili and Mariam Jambakur-Orbeliani in May 1879 in order to promote a cultural renaissance among the peasantry of Georgia. The Society ran a network of schools, bookshops and libraries throughout the country, trained teachers, and sponsored Georgian-language journals and magazines. Prince Chavchavadze, a prominent writer, went on to play a leading role in the Society, succeeding the first chairman Kipiani in 1885 until his assassination in 1907. In 1885, the Mingrelian prince Niko Dadiani donated his father's rich personal library collection, including old Georgian manuscripts, to the charity. The organization involved virtually all active Georgian men of letters, several philanthropists and officials, and was instrumental in Georgian national revival in the latter half of the 19th century.;;;;;;;;;;;;;
SLU_conservative;Šturovites;;;;;;;;;;;;;
SLU_conservative_1;Slavic Christian Union;;;;;;;;;;;;;
SLU_liberal;Palackites;;;;;;;;;;;;;
SLU_liberal_1;Constitutional Democratic Party;;;;;;;;;;;;;
SLU_reactionary;Slavophiles;;;;;;;;;;;;;
SLU_reactionary_1;All-Slavic Black Veche;;;;;;;;;;;;;
SLU_radical;Sabinites;;;;;;;;;;;;;
SLU_radical_1;National Revolutionary Congress;;;;;;;;;;;;;
SLU_socialist_1;Socialist Revolutionary Party;;;;;;;;;;;;;
SLU_socialist_2;Labour Party;;;;;;;;;;;;;
SLU_communist;Communist Party;;;;;;;;;;;;;
SLU_fascist;All-Slavic National Radical Party;;;;;;;;;;;;;
philippe_vii;Philippe VII;;;;;;;;;;;;;
philippe_vii_desc;Our king, Philippe VII, is an outspoken democrat and reformist - by now almost a defining trait of the house of Orléans, harkening back to Philippe Égalité. Liberal circles congregate around him as a champion of their cause, while the hardest traditionalists stand nervously on watch to safeguard the legacy of Charles X and the house of Bourbon.;;;;;;;;;;;;;
louis_philippe_ii;Louis-Philippe II;;;;;;;;;;;;;
louis_philippe_ii_desc;Louis-Philippe II, King of the French, is an outspoken democrat and reformist - by now almost a defining trait of the house of Orléans, harkening back to Philippe Égalité. Liberal circles congregate around him as a champion of their cause, while the hardest traditionalists bemoan his rule.;;;;;;;;;;;;;
